Wavelength (nm),Bright1 (W/m^2/Âµm/sr),Bright2 (W/m^2/Âµm/sr),Dark1 (W/m^2/Âµm/sr)
793.336,112.9922,83.34,1.893296
793.3989,106.8323,76.76491,1.569557
793.4619,81.11201,55.952,0.9964781
793.5249,50.09359,32.13994,0.4959488
793.5878,38.01604,22.39949,0.2983536
793.6508,43.71601,25.14278,0.3167966
793.7138,52.05695,30.61729,0.3960869
793.7768,57.96295,35.59793,0.5000338
793.8398,65.35446,42.24715,0.6475576
793.9028,75.48873,50.93508,0.8559713
793.9659,87.27528,60.86313,1.128427
794.0289,98.56561,70.51698,1.398439
794.0919,106.962,77.77312,1.631096
794.155,118.37,87.39117,1.934958
794.2181,131.6879,99.39615,2.266328
794.2812,137.2631,105.8083,2.452379
794.3442,133.489,103.9644,2.473995
794.4074,131.3867,102.6267,2.53063
794.4705,135.924,106.3809,2.707981
794.5336,136.3983,106.8989,2.778783
794.5967,130.853,102.5876,2.666128
794.6599,125.1497,98.08324,2.507061
794.723,121.7426,95.38673,2.407586
794.7862,122.4052,95.85361,2.407915
794.8494,126.1594,98.56711,2.464312
794.9126,125.3806,97.34261,2.405436
794.9758,117.3618,90.22395,2.169261
795.0389,112.868,86.09862,2.011877
795.1022,115.7894,88.15947,2.061389
795.1654,120.1281,91.68907,2.190071
795.2286,122.3641,93.83425,2.290636
795.2919,122.6489,94.44339,2.340761
795.3551,125.2471,96.76244,2.417579
795.4184,131.0697,101.6752,2.543965
795.4817,136.3476,106.2056,2.66505
795.5449,137.7345,107.5504,2.723442
795.6082,135.435,105.9066,2.699205
795.6715,134.5144,105.241,2.703663
795.7349,135.6096,106.0545,2.770065
795.7982,135.87,106.2305,2.802427
795.8615,136.8668,106.9508,2.80899
795.9248,137.811,107.6239,2.805865
795.9882,136.3618,106.515,2.778574
796.0516,136.0676,106.3292,2.797184
796.115,137.9397,107.8322,2.867113
796.1783,138.4897,108.2756,2.906558
796.2418,138.4161,108.1436,2.905121
796.3051,138.9076,108.4333,2.880191
796.3685,139.6466,108.9938,2.862827
796.432,140.4099,109.5705,2.886901
796.4954,139.7684,109.0391,2.890713
796.5589,138.8908,108.3154,2.830786
796.6223,139.6785,108.7804,2.741693
796.6858,140.8914,109.4165,2.638814
796.7492,136.0758,104.8167,2.461243
796.8128,123.1577,93.58869,2.184197
796.8763,115.3506,86.85262,2.001488
796.9397,116.7312,87.74326,2.017187
797.0033,120.0197,90.4811,2.137821
797.0668,126.2022,95.97238,2.341751
797.1303,135.9189,104.5607,2.604609
797.1939,143.6815,111.5839,2.850229
797.2574,146.9476,114.9527,3.056932
797.321,150.7755,118.8085,3.294785
797.3846,155.9003,123.4284,3.54437
797.4482,158.5084,125.6453,3.686765
797.5118,159.0308,126.1953,3.735028
797.5754,159.0184,126.3322,3.796991
797.639,158.4798,126.028,3.843027
797.7026,157.9089,125.7936,3.829999
797.7663,159.9352,127.7513,3.867148
797.8299,164.6099,131.9338,3.96774
797.8936,167.7101,134.6805,4.000053
797.9572,168.6102,135.661,3.925991
798.0209,166.9598,134.1964,3.80946
798.0846,161.8562,129.002,3.712878
798.1483,158.3952,125.2754,3.631944
798.212,155.8331,122.7501,3.416455
798.2757,145.5909,113.5241,2.979294
798.3394,130.1186,99.84005,2.530736
798.4032,122.6896,93.03895,2.388064
798.4669,126.902,96.26628,2.523861
798.5307,135.5214,103.8549,2.750292
798.5945,145.6926,113.5015,3.048708
798.6583,158.5543,125.8377,3.407531
798.722,169.3957,136.0223,3.747505
798.7859,175.6498,142.0639,3.971646
798.8496,181.8659,148.4609,4.115911
798.9135,187.2844,153.9352,4.262316
798.9773,188.9154,155.6469,4.39666
799.0412,189.9878,156.6699,4.53124
799.105,192.1237,158.416,4.6562
799.1689,193.1313,159.2298,4.707865
799.2327,193.8143,159.8582,4.724615
799.2966,193.7523,159.8959,4.685024
799.3605,192.134,158.658,4.593343
799.4244,191.438,158.1058,4.576193
799.4883,191.5464,158.1365,4.606478
799.5523,190.8216,157.4865,4.636147
799.6162,190.0484,156.876,4.677407
799.6801,190.5585,157.4483,4.701224
799.7441,191.5129,158.4551,4.699783
799.808,193.573,160.3917,4.752577
799.872,196.4264,162.9044,4.869329
799.936,195.159,161.7871,4.89587
800,189.1558,156.8411,4.775191
800.064,181.2402,150.3978,4.585992
800.128,176.4754,146.3112,4.468668
800.1921,180.8323,149.882,4.555966
800.2561,191.3042,158.9727,4.786922
800.3201,199.9955,166.7759,4.982023
800.3842,202.4032,169.0797,5.045046
800.4482,201.8439,168.6801,5.067193
800.5123,203.3154,169.9766,5.139842
800.5764,205.3782,171.7717,5.190194
800.6405,206.4491,172.7389,5.207662
800.7046,207.2883,173.4192,5.27882
800.7687,207.7156,173.6936,5.385959
800.8329,206.9561,173.1084,5.443934
800.897,205.8099,172.6,5.423941
800.9611,207.2978,174.5428,5.419925
801.0253,213.2233,180.0035,5.535008
801.0895,219.6262,185.6788,5.691616
801.1537,221.6776,187.5503,5.780547
801.2179,220.7064,186.8209,5.802675
801.282,220.1484,186.465,5.813857
801.3462,221.0387,187.3423,5.833054
801.4105,221.0663,187.5152,5.803966
801.4747,218.9447,185.7586,5.738753
801.5389,218.7668,185.6262,5.755491
801.6032,222.542,188.92,5.907688
801.6675,228.9662,194.6587,6.136759
801.7318,235.9599,201.2551,6.349118
801.796,240.4766,206.0896,6.485841
801.8603,241.61,208.0189,6.538457
801.9246,239.3795,206.5076,6.511027
801.989,236.7553,204.2527,6.471724
802.0533,238.1117,205.3928,6.505569
802.1176,241.5797,208.3553,6.569119
802.182,240.4444,207.0258,6.532816
802.2463,233.4459,200.081,6.360825
802.3106,225.613,192.3881,6.117007
802.375,212.8932,181.0731,5.691215
802.4394,195.4953,166.2417,5.155648
802.5038,189.1308,160.7159,4.95466
802.5682,194.918,165.285,5.109938
802.6326,202.3326,171.403,5.332891
802.6971,209.0724,177.267,5.538108
802.7615,215.3259,183.2124,5.709132
802.8259,219.6788,187.7995,5.834587
802.8904,220.0706,188.5143,5.899046
802.9549,216.4182,185.4081,5.863758
803.0193,212.6072,182.235,5.786233
803.0838,215.6711,185.0616,5.869461
803.1483,226.3259,194.5467,6.159739
803.2129,235.6396,202.8795,6.427834
803.2774,238.364,205.2999,6.522443
803.3419,237.9825,204.8713,6.530024
803.4064,238.2192,205.0467,6.549449
803.471,238.2383,205.0671,6.550134
803.5356,236.3224,203.3159,6.483959
803.6001,232.2154,199.6569,6.362166
803.6647,227.7984,195.8313,6.247144
803.7293,225.7927,194.1438,6.197956
803.7939,227.1803,195.3413,6.240388
803.8585,230.911,198.5237,6.352797
803.9231,234.6202,201.7458,6.467368
803.9878,236.9874,203.8738,6.541132
804.0524,237.1201,203.969,6.540289
804.1171,235.471,202.4256,6.484857
804.1818,233.6672,200.8005,6.426212
804.2464,233.029,200.2354,6.402734
804.3111,234.1529,201.1955,6.435121
804.3758,234.2489,201.2178,6.434494
804.4405,232.302,199.4464,6.373191
804.5052,229.4592,196.8979,6.301077
804.57,225.9689,193.7862,6.205096
804.6347,225.5808,193.4634,6.174059
804.6994,225.2163,193.2529,6.160583
804.7642,217.5758,186.7333,5.967189
804.829,211.0623,181.2084,5.804448
804.8937,214.5617,184.3356,5.917088
804.9585,221.2664,190.1071,6.114909
805.0234,225.8486,194.0029,6.246365
805.0882,227.2056,195.123,6.272574
805.153,223.4477,191.7312,6.147667
805.2178,221.7073,190.1149,6.086861
805.2827,227.1711,194.8354,6.227825
805.3475,231.9958,198.9833,6.355721
805.4124,231.9837,198.9317,6.365979
805.4773,231.581,198.6206,6.369179
805.5421,231.6131,198.7502,6.383898
805.607,229.9438,197.3394,6.358203
805.6719,230.0225,197.3708,6.382737
805.7368,234.4437,201.2011,6.518823
805.8017,237.5531,203.9031,6.619994
805.8667,237.4218,203.7795,6.640563
805.9316,238.2097,204.4402,6.677419
805.9966,239.2763,205.3187,6.699254
806.0616,237.6702,203.8672,6.625079
806.1265,234.7574,201.2779,6.515059
806.1916,233.5294,200.1848,6.468687
806.2565,233.9474,200.5616,6.473571
806.3216,234.1214,200.696,6.471863
806.3866,233.4109,200.0149,6.451857
806.4516,232.9702,199.5887,6.44345
806.5166,233.1744,199.7399,6.452364
806.5817,233.4278,199.9493,6.465657
806.6468,234.065,200.5449,6.489314
806.7119,234.8181,201.2128,6.51036
806.7769,234.7778,201.1068,6.512075
806.842,234.2182,200.5874,6.504431
806.9071,234.1558,200.5987,6.506198
806.9723,234.4462,200.9336,6.513821
807.0374,233.8034,200.3769,6.496188
807.1025,232.0998,198.8209,6.450814
807.1676,229.8283,196.7816,6.391037
807.2328,227.602,194.8101,6.325312
807.2979,226.4428,193.8184,6.287325
807.3632,226.4977,193.9353,6.297543
807.4284,228.0348,195.2864,6.356718
807.4936,231.5278,198.2501,6.466908
807.5588,235.0135,201.2009,6.576897
807.624,234.8254,201.0133,6.58779
807.6892,230.8935,197.6586,6.489528
807.7545,228.427,195.597,6.418498
807.8197,230.6286,197.4838,6.469122
807.8849,234.8047,200.9965,6.574434
807.9503,236.9918,202.8237,6.633312
808.0155,236.3408,202.2991,6.618929
808.0808,234.7799,200.9963,6.567277
808.1461,232.7844,199.2576,6.498653
808.2114,230.0828,196.9238,6.419469
